id_trecho_,ano,n_focos,n_sinistros,fluxo,dist_m
151119,2020,0,0,6972101.334215,2414.041582407758
151120,2020,0,18,6972101.334215,3678.250293427127
151121,2020,0,31,6972101.334215,2364.8987638782082
151122,2020,0,0,5376252.8737200005,9911.761828434453
151123,2020,0,0,5399465.49329,3831.8793949991996
151124,2020,0,0,3659729.0242649997,2342.9133998035345
151125,2020,0,0,3641689.093445,9016.187109405097
151126,2020,0,0,963210.23913,4215.475423094771
151127,2020,0,0,963210.23913,4587.3231670909145
151128,2020,0,0,963210.23913,2239.5853953372552
151129,2020,0,0,963210.23913,5500.201051101604
151130,2020,0,0,1048524.90478,3566.6574504835717
151131,2020,1,0,1066067.9140149998,22729.79431961623
151132,2020,0,0,1066067.9140149998,6566.033103472894
151133,2020,1,0,783821.9002650001,28788.94183753089
151134,2020,1,0,783821.9002650001,26280.866933972477
151135,2020,0,0,783821.9002650001,1589.8353516080167
151136,2020,0,0,1063215.4393799999,11481.617975342648
151137,2020,1,0,927963.941495,55636.10206850234
151138,2020,0,0,880993.6989549999,66309.07099794221
151140,2020,0,0,NA,1008.6572349858807
162516,2020,1,0,NA,45005.52842670802
162415,2020,0,0,NA,32329.298469134526
151176,2020,0,0,NA,32868.92574041763
151177,2020,1,0,995163.0527049999,95268.091183621407
151178,2020,7,3,1704291.342385,27681.51177168596
151179,2020,1,12,1420522.91838,20942.1196852398
151180,2020,0,13,1475306.068775,26313.78474829769
151181,2020,0,10,1314327.3878449998,19788.00106769687
151182,2020,2,34,1801042.7698450002,23200.928468293398
151183,2020,0,57,1801042.7698450002,7345.777063926646
151184,2020,1,36,3064696.692674999,7275.490365708358
151185,2020,2,20,3064696.692674999,34610.43293434657
151186,2020,1,26,2027463.911885,24715.99182001913
151187,2020,0,11,1224595.960855,59131.987879107495
151188,2020,1,0,1201310.2693799997,18096.984609050876
151189,2020,4,13,795398.3731249999,65621.84770111009
151190,2020,5,9,743536.475775,83397.72458015359
151191,2020,0,3,1078220.66895,10451.75575603176
151192,2020,2,32,890912.2356000001,96381.45594761387
151193,2020,1,6,961715.9966549999,27588.70016079247
151194,2020,0,6,1070285.4415650002,7987.8755735412815
151195,2020,0,9,1284834.54214,5773.837359915906
151196,2020,0,7,1284834.54214,8498.31791146466
151197,2020,3,16,1582534.84131,32278.071447402905
151198,2020,1,3,1582534.84131,1478.088208486126
151199,2020,1,8,3083853.47422,7129.009405924165
151200,2020,1,5,3083853.47422,9457.077649141409
151201,2020,0,4,3280395.2618350005,5742.432614789926
151202,2020,0,15,3264016.0160450004,12369.720176120283
151203,2020,0,15,3264016.0160450004,3517.218524428013
151204,2020,0,12,4202496.30396,13554.357184762794
151205,2020,0,0,4202496.30396,2755.7904873979937
151206,2020,0,11,4202496.30396,11665.142556533227
151207,2020,0,10,3906520.114045,10171.533731992193
151208,2020,0,1,3906520.114045,2083.5160288372526
151209,2020,0,1,3890754.5347249997,3601.4895720091213
151210,2020,0,1,4667826.325375,2323.6718147019424
151211,2020,0,2,4667826.325375,8390.140709078512
151212,2020,1,2,5447267.101074999,8003.573452930452
151141,2020,6,0,NA,94094.21240168545
162414,2020,3,0,NA,20176.58713338259
151142,2020,0,0,177726.68476000006,4326.18351160702
151143,2020,0,0,182960.60372,564.8613464777582
162172,2020,0,0,182960.60372,603.4308990583222
151144,2020,3,0,NA,38095.85600388232
151145,2020,1,0,NA,46641.96789871192
151148,2020,0,0,382206.0514550001,13970.145733317868
151149,2020,3,0,382206.0514550001,22455.028840606923
151150,2020,1,0,1085670.574085,3106.1570603631812
151151,2020,0,0,526944.699055,8699.257162626645
151152,2020,4,0,450668.1353,9992.62090179694
151153,2020,0,0,448706.567995,41622.26174783059
151154,2020,0,0,468006.35581000004,8633.067997979371
151155,2020,0,0,449235.12851000007,30007.05402660712
151156,2020,0,0,665074.03652,3332.3541530403054
151157,2020,0,0,698162.0636049999,10581.015702441657
151158,2020,1,0,698162.0636049999,23856.57034664599
151159,2020,1,0,763015.821325,20017.248222996765
160954,2020,0,0,763015.821325,668.4067684479581
164786,2020,0,0,NA,6456.044179958129
158187,2020,0,0,1477280.2358800003,784.352319578467
158188,2020,1,0,1477280.23588,39601.5365078578
158711,2020,0,0,NA,3750.5531029154185
151160,2020,0,0,1582227.3835599998,11370.33733793632
151161,2020,0,1,635760.6864999998,2485.821842246728
151162,2020,1,0,635760.6864999998,63635.37237666912
151163,2020,1,0,285085.02171,22104.649429926925
151164,2020,1,0,NA,9580.240209079133
151165,2020,1,0,NA,42570.68277021639
151166,2020,0,0,800748.04709,26559.00309833561
157962,2020,0,0,NA,1556.972792986519
151167,2020,0,0,NA,298.9116068371972
157960,2020,0,0,NA,6120.548683016042
151168,2020,2,0,NA,27612.455694612152
151169,2020,3,0,NA,44795.76122200369
151170,2020,3,0,NA,45619.11584873141
151171,2020,7,0,NA,69255.85142622862
151174,2020,0,0,NA,8150.684881516329
157961,2020,3,0,202870.08133000002,31965.932570123758
158732,2020,2,0,NA,11146.817231639205
164784,2020,0,0,NA,9186.733382426184
164785,2020,0,0,NA,3906.049259455811
158492,2020,0,0,467180.2016699999,852.2924574566116
158493,2020,0,0,NA,1937.9817986894475
151239,2020,3,0,1014793.94662,18084.02854779492
151240,2020,1,5,622454.2030650001,58026.913660238635
151241,2020,1,10,556177.651985,54089.86286276738
151242,2020,0,2,493399.41457,6018.8783293624965
151243,2020,0,13,493399.41457,76880.06044967193
151244,2020,0,1,1968125.6315700002,5596.193720820269
162038,2020,0,1,1968125.6315700002,19094.58097247409
164644,2020,9,25,NA,63920.24945253639
151245,2020,0,3,594460.95256,5681.89953901951
158839,2020,2,24,830938.4150950001,45275.26728091902
151246,2020,0,3,833267.593245,48003.49955241557
151247,2020,3,0,NA,66872.34008603888
151248,2020,4,0,NA,81562.07095098133
151249,2020,4,0,NA,54509.30631090519
151250,2020,2,0,NA,34741.050176790544
151251,2020,3,0,NA,44112.163751068234
151252,2020,2,0,NA,87170.88196629572
151253,2020,1,0,NA,11204.930109385261
151272,2020,0,4,698072.576555,35218.70749966103
151273,2020,0,5,646672.66518,30892.64392611409
151274,2020,1,1,646672.66518,18177.547889346137
151275,2020,3,5,821106.9492,74318.76437865621
151276,2020,1,22,815699.7702150001,48201.82406879869
151277,2020,1,11,1248470.0567849998,36735.47466358179
151278,2020,0,6,1133067.893635,14708.506407083167
151279,2020,0,8,1302309.999,26797.83247911995
151280,2020,3,18,1276015.7632699998,29700.284868516057
151281,2020,2,12,1722334.2235000003,17689.640335913704
151282,2020,0,0,2051095.6,9536.011402554883
151283,2020,1,2,2076234.245,13214.439279104625
151284,2020,0,6,2076234.245,10579.40553497012
151285,2020,8,145,2212327.029195,48319.19050652377
158789,2020,0,32,1627245.9280300003,12171.071099683837
151214,2020,0,13,NA,2414.041582407758
151215,2020,0,0,NA,3678.250293427127
151216,2020,0,0,NA,2364.8987638782082
151217,2020,0,0,NA,9911.761828434453
151218,2020,0,49,NA,3831.8793949991996
151219,2020,0,0,NA,2342.9133998035345
151220,2020,0,0,NA,9016.187109405097
151221,2020,0,0,2725357.0639299997,2010.9051337787732
151222,2020,0,0,2725357.0639299997,332.7100212595103
151223,2020,0,0,2725357.0639299997,5778.176927477027
151224,2020,0,15,2725357.0639299997,7414.977972868207
151225,2020,0,0,2725357.0639299997,2940.1426536268036
151226,2020,0,0,2725357.0639299997,5629.475524400535
151227,2020,0,0,2816091.449235,966.9791808688332
151228,2020,0,13,2816091.449235,3711.783151907877
151229,2020,0,55,2657461.321385,17804.77601765678
151230,2020,1,0,1376859.9214950001,9098.330191773497
151231,2020,3,28,1312123.0389649998,42066.96985313284
151232,2020,0,0,1312123.0389649998,32417.65362044275
151233,2020,3,7,1131753.5523599999,36951.644757712056
151234,2020,1,24,1131753.5523599999,38046.71896626579
